board,avg_2seg_orient,avg_3seg_orient,seg2_same_orient,seg2_3_same_orient,seg2_dist_to_left,seg2_dist_to_right,seg2_dist_to_upper,seg2_dist_to_bottom,seg3_dist_to_left,seg3_dist_to_right,seg3_dist_to_upper,seg3_dist_to_bottom,avg_spread_2_2,avg_spread_2_3,avg_spread_all,seg2_ships_whole_at_edge,seg3_ships_whole_at_edge,total_ships_whole_at_edge,seg2_ships_touching_edge,seg3_ships_touching_edge,total_ships_touching_edge
202200200000000000000000333000000000,0.0,1.0,False,False,1.0,3.5,0.0,4.5,0.0,3.0,4.0,1.0,2.549509756796392,3.956028408649512,3.487188858031806,2.0,0.0,2.0,0.0,1.0,1.0
000020000020000000000020333020000000,-2.0,1.0,True,False,4.0,1.0,1.5,2.5,0.0,3.0,4.0,1.0,3.0,3.825576746897776,3.550384497931851,0.0,0.0,0.0,1.0,1.0,2.0
220000000003200003200003000000000000,0.0,-1.0,False,False,0.0,4.5,1.0,3.5,5.0,0.0,1.0,2.0,2.549509756796392,4.9746833557292485,4.166292156084963,2.0,1.0,3.0,0.0,0.0,0.0
000002003002203000203000000000000000,-2.0,-1.0,True,True,2.5,2.5,1.0,3.0,2.0,3.0,1.0,2.0,5.385164807134504,2.7078273895292577,3.6002731953976728,2.0,0.0,2.0,0.0,0.0,0.0
000000000000020000020000000002033302,-2.0,1.0,True,False,3.0,2.0,3.0,1.0,1.0,2.0,5.0,0.0,4.47213595499958,2.8669818343581808,3.4020332079053137,1.0,1.0,2.0,0.0,0.0,0.0
022000000000000000300022300000300000,2.0,-1.0,True,False,2.5,1.5,1.5,3.5,0.0,5.0,3.0,0.0,4.242640687119285,4.440887050652604,4.374804929474831,1.0,1.0,2.0,1.0,0.0,1.0
000000200000200333000000000000000022,0.0,1.0,False,False,2.0,2.5,3.0,1.5,3.0,0.0,2.0,3.0,5.70087712549569,3.536255069649192,4.257795754931358,2.0,0.0,2.0,0.0,1.0,1.0
002200000000333000000000000220000000,2.0,1.0,True,True,2.5,1.5,2.0,3.0,0.0,3.0,2.0,3.0,4.123105625617661,2.850781059358212,3.274889248111362,1.0,0.0,1.0,0.0,1.0,1.0
033300000000000022000000220000000000,2.0,1.0,True,True,2.0,2.0,3.0,2.0,1.0,2.0,0.0,5.0,4.47213595499958,3.7367819956875934,3.981899982124924,0.0,1.0,1.0,2.0,0.0,2.0
002000002000000000033300000000022000,0.0,1.0,False,False,1.5,3.0,2.5,2.0,1.0,2.0,3.0,2.0,4.527692569068709,2.280776406404416,3.0297484606258465,1.0,0.0,1.0,1.0,0.0,1.0
