board_state_100chars_code,best_field,best_prob,time_adv,time_mc,cnf_5,cnf_4,cnf_3,cnf_2
0000070073000000707300000007730000000077770000000757000007005700007770577777727757444472705777777770,"[4, 6]",0.2051488144488309,3.88,1.6266666666666667,25.0,39.0,53.0,74.0
0000070073000000707300000007730000000077770000700757000007005700007770577777727757444472705777777770,"[3, 5]",0.2186301043928263,3.07,1.5566666666666666,22.0,35.0,48.0,70.0
0000070073000000707300000007730000070077770000700757000007005700007770577777727757444472705777777770,"[2, 4]",0.2262104141291108,2.36,1.4833333333333334,17.0,29.0,42.0,66.0
0000070073000000707300007007730000070077770000700757000007005700007770577777727757444472705777777770,"[5, 4]",0.233361208126322,1.99,1.3666666666666665,11.0,23.0,36.0,62.0
0000070073000000707300007007730000070077770000700757007007005700007770577777727757444472705777777770,"[6, 3]",0.2527430221366699,1.5,1.2166666666666666,10.0,20.0,31.0,58.0
0000070073000000707300007007730000070077770000700757007007005707007770577777727757444472705777777770,"[3, 2]",0.2476386742229091,1.18,1.2766666666666666,9.0,18.0,28.0,55.0
0070000000770000000057000000005700000000577770077757747007225774700777777477700700747270700077727700,"[1, 3]",0.2592248781619865,1.2,1.4433333333333334,21.0,32.0,44.0,68.0
7770700000727007000072707000007777001000333707000777777000004444700000777770000077777700005555570000,"[3, 5]",0.3356584821428571,2.09,1.4766666666666666,19.0,32.0,45.0,63.0
7770700000727007000072707000007777071000333707000777777000004444700000777770000077777700005555570000,"[2, 6]",0.4363712725745485,1.76,1.1866666666666663,17.0,30.0,43.0,62.0
7770700000727007000072707070007777071000333707000777777000004444700000777770000077777700005555570000,"[3, 7]",0.5144063586686537,1.53,1.3166666666666669,14.0,27.0,41.0,61.0
0777074444072707777777277000770777017075700700007507007000750070000075700700007507000000770070000700,"[4, 5]",0.7301109917651271,5.58,0.87,10.0,18.0,27.0,52.0
0777074444072707777777277000770777017075700701007507007000750070000075700700007507000000770070000700,"[2, 5]",0.6106255749770009,4.21,1.5033333333333332,8.0,16.0,24.0,46.0
0073770000007370000000737000007777777000755555700777777770007470000000747777000074722700007477777000,"[6, 7]",0.1962568533455808,3.28,1.5633333333333337,18.0,28.0,45.0,67.0
0073770000007370000000737000007777777000755555700777777770007470000700747777000074722700007477777000,"[5, 8]",0.21625,2.52,1.3766666666666667,11.0,21.0,39.0,63.0
0073770000007370000000737000007777777000755555700777777770707470000700747777000074722700007477777000,"[7, 9]",0.2211437685121895,2.12,1.3166666666666669,6.0,17.0,35.0,59.0
0073770000007370000000737000007777777000755555700777777770707470000700747777000174722700007477777000,"[6, 9]",0.4615701627859056,1.1,0.7733333333333334,6.0,15.0,30.0,50.0
7070070070070710070000700070077700000070470000070047000000074700007777477000733377077777770077555557,"[0, 4]",0.3996673515311613,20.79,2.8233333333333337,11.0,19.0,30.0,53.0
7070770070070710070000700070077700000070470000070047000000074700007777477000733377077777770077555557,"[1, 5]",0.6167427205562799,16.14,1.61,10.0,18.0,29.0,52.0
0000077770000007227000070777770070700073700077707301707577730707757077700075770000007570000000757000,"[4, 1]",0.7476062811183455,3.8,0.8566666666666666,3.0,9.0,28.0,55.0
0074444700707777777777777555553337777777777700777700007073330000007777000000000000000000000000000000,"[8, 8]",0.17177623941179,4.16,1.7266666666666666,26.0,37.0,52.0,71.0
